scenario,day,daily_volume,drops_per_day,volume_per_drop,cumulative_volume,target_cumulative_volume,remaining_to_target,limit,limit_usage_ratio,growth_rate,time_gap_min,estimated_sent_ratio,risk_probability,spf_error_probability,dkim_error_probability,netblock_error_probability,error_probability,risk_zone
moderate_strategy,1,1000,5,200.0,1000,1000000,999000.0,10000,0.1,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,2,1100,5,220.0,2100,1000000,997900.0,10000,0.11,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,3,1210,5,242.0,3310,1000000,996690.0,10000,0.121,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,4,1331,5,266.2,4641,1000000,995359.0,10000,0.1331,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,5,1464,5,292.8,6105,1000000,993895.0,10000,0.1464,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,6,1610,5,322.0,7715,1000000,992285.0,10000,0.161,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,7,1771,5,354.2,9486,1000000,990514.0,10000,0.1771,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,8,1948,5,389.6,11434,1000000,988566.0,10000,0.1948,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,9,2143,5,428.6,13577,1000000,986423.0,10000,0.2143,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,10,2357,5,471.4,15934,1000000,984066.0,10000,0.2357,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,11,2593,5,518.6,18527,1000000,981473.0,10000,0.2593,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,12,2852,5,570.4,21379,1000000,978621.0,10000,0.2852,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,13,3137,5,627.4,24516,1000000,975484.0,10000,0.3137,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,14,3451,5,690.2,27967,1000000,972033.0,10000,0.3451,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,15,3796,5,759.2,31763,1000000,968237.0,10000,0.3796,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,16,4176,5,835.2,35939,1000000,964061.0,10000,0.4176,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,17,4594,5,918.8,40533,1000000,959467.0,10000,0.4594,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,18,5053,5,1010.6,45586,1000000,954414.0,10000,0.5053,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,19,5558,5,1111.6,51144,1000000,948856.0,10000,0.5558,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,20,6114,5,1222.8,57258,1000000,942742.0,10000,0.6114,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe
moderate_strategy,21,6725,5,1345.0,63983,1000000,936017.0,10000,0.6725,0.1,60,0.98,0.0702,0.0,0.0,0.0,0.0,Safe
moderate_strategy,22,7398,5,1479.6,71381,1000000,928619.0,10000,0.7398,0.1,60,0.98,0.1308,0.0,0.0,0.0,0.0,Safe
moderate_strategy,23,8138,5,1627.6,79519,1000000,920481.0,10000,0.8138,0.1,60,0.98,0.1974,0.0,0.0,0.0,0.0,Safe
moderate_strategy,24,8952,5,1790.4,88471,1000000,911529.0,10000,0.8952,0.1,60,0.9729,0.2707,0.0,0.0,0.0,0.0,Safe
moderate_strategy,25,9847,5,1969.4,98318,1000000,901682.0,10000,0.9847,0.1,60,0.9192,0.3512,0.0,0.0,0.0,0.0,Risk
moderate_strategy,26,10832,5,2166.4,109150,1000000,890850.0,10000,1.0832,0.1,60,0.8601,0.4399,0.0,0.0,0.0,0.0,Dangerous
moderate_strategy,27,11915,5,2383.0,121065,1000000,878935.0,10000,1.1915,0.1,60,0.7951,0.5373,0.0,0.0,0.0,0.0,Dangerous
moderate_strategy,28,13107,5,2621.4,134172,1000000,865828.0,10000,1.3107,0.1,60,0.7236,0.6446,0.0,0.0,0.0,0.0,Dangerous
moderate_strategy,29,14418,5,2883.6,148590,1000000,851410.0,10000,1.4418,0.1,60,0.6449,0.7626,0.0,0.0,0.0,0.0,Dangerous
moderate_strategy,30,15860,5,3172.0,164450,1000000,835550.0,10000,1.586,0.1,60,0.5584,0.8924,0.0,0.0,0.0,0.0,Dangerous
safe_strategy,1,700,5,140.0,700,1000000,999300.0,12000,0.0583,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
